ts,elapsed_s,sql_state,bc_state,sql_query_ms,bc_api_ms,bc_http,web_http,restarts,note
2026-08-13T03:27:30+02:00,9231,running,running,317,48,200,200,1,
2026-08-13T03:28:15+02:00,9277,running,running,316,41,200,200,1,
2026-08-13T03:29:01+02:00,9322,running,running,313,39,200,200,1,
2026-08-13T03:29:47+02:00,9368,running,running,320,49,200,200,1,
2026-08-13T03:30:32+02:00,9414,running,running,317,44,200,200,1,
2026-08-13T03:31:18+02:00,9459,running,running,318,39,200,200,1,
2026-08-13T03:32:04+02:00,9505,running,running,321,47,200,200,1,
2026-08-13T03:32:49+02:00,9551,running,running,315,42,200,200,1,
2026-08-13T03:33:35+02:00,9597,running,running,312,44,200,200,1,
2026-08-13T03:34:21+02:00,9642,running,running,318,38,200,200,1,
2026-08-13T03:35:07+02:00,9688,running,running,316,42,200,200,1,
2026-08-13T03:35:52+02:00,9734,running,running,315,44,200,200,1,
2026-08-13T03:36:38+02:00,9779,running,running,320,38,200,200,1,
2026-08-13T03:37:24+02:00,9825,running,running,322,45,200,200,1,
2026-08-13T03:38:09+02:00,9871,running,running,318,40,200,200,1,
2026-08-13T03:38:55+02:00,9916,running,running,318,38,200,200,1,
2026-08-13T03:39:41+02:00,9962,running,running,320,42,200,200,1,
2026-08-13T03:40:26+02:00,10008,running,running,319,43,200,200,1,
2026-08-13T03:41:12+02:00,10053,running,running,321,42,200,200,1,
2026-08-13T03:41:58+02:00,10099,running,running,324,39,200,200,1,
2026-08-13T03:42:44+02:00,10145,running,running,318,46,200,200,1,
2026-08-13T03:43:29+02:00,10191,running,running,320,39,200,200,1,
2026-08-13T03:44:15+02:00,10236,running,running,317,44,200,200,1,
2026-08-13T03:45:01+02:00,10282,running,running,309,43,200,200,1,
2026-08-13T03:45:46+02:00,10328,running,running,314,36,200,200,1,
2026-08-13T03:46:32+02:00,10373,running,running,325,40,200,200,1,
2026-08-13T03:47:18+02:00,10419,running,running,313,50,200,200,1,
2026-08-13T03:48:03+02:00,10465,running,running,315,42,200,200,1,
2026-08-13T03:48:49+02:00,10510,running,running,320,41,200,200,1,
2026-08-13T03:49:35+02:00,10556,running,running,321,37,200,200,1,
2026-08-13T03:50:20+02:00,10602,running,running,313,44,200,200,1,
2026-08-13T03:51:06+02:00,10647,running,running,319,44,200,200,1,
2026-08-13T03:51:52+02:00,10693,running,running,320,43,200,200,1,
2026-08-13T03:52:37+02:00,10739,running,running,318,45,200,200,1,
2026-08-13T03:53:23+02:00,10785,running,running,322,43,200,200,1,
# soak finished after 10830s; log: /tmp/soak-goal.csv
# polls=238  sql_ok=238 (100.0%)  api_ok=237 (99.6%)  web_ok=237 (99.6%)
# no failures observed
